experiment,axis_sweep,op,dimension,density,sparse_factor,buffer_size,timing_source,d1,d2,num_nodes,num_edges,num_spaces,num_pieces,n,median_us,median_ms,min_us,max_us,speedup_cpu_over_gpu,gpu_tiles_median,gpu_tiles_min,gpu_tiles_max,gpu_oom_backoffs_median,gpu_oom_backoffs_min,gpu_oom_backoffs_max,gpu_host_fallback_median,gpu_host_fallback_min,gpu_host_fallback_max,gpu_input_rects_median,gpu_input_rects_min,gpu_input_rects_max,gpu_scratch_bytes_median,gpu_scratch_bytes_min,gpu_scratch_bytes_max
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,5,gpu_source,1,1,1000000,1000000,4,1,3,2955,2.955,2724,2986,14.137394247038918,1,1,1,0,0,0,0,0,0,1,1,1,79371957,79371957,79371957
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,7,cpu_source,1,1,1000000,1000000,4,1,3,41496,41.496,41288,41535,24.48141592920354,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,7,gpu_source,1,1,1000000,1000000,4,1,3,1695,1.695,1622,2888,24.48141592920354,1,1,1,0,0,0,0,0,0,1,1,1,105032836,105032836,105032836
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,10,cpu_source,1,1,1000000,1000000,4,1,3,41591,41.591,41070,41653,14.748581560283688,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,10,gpu_source,1,1,1000000,1000000,4,1,3,2820,2.82,2575,3144,14.748581560283688,1,1,1,0,0,0,0,0,0,1,1,1,143524155,143524155,143524155
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,15,cpu_source,1,1,1000000,1000000,4,1,3,41341,41.341,41160,41662,24.534718100890206,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,15,gpu_source,1,1,1000000,1000000,4,1,3,1685,1.685,1652,2787,24.534718100890206,1,1,1,0,0,0,0,0,0,1,1,1,207676352,207676352,207676352
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,20,cpu_source,1,1,1000000,1000000,4,1,3,41712,41.712,41347,42390,13.525291828793774,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,20,gpu_source,1,1,1000000,1000000,4,1,3,3084,3.084,2862,3106,13.525291828793774,1,1,1,0,0,0,0,0,0,1,1,1,271828550,271828550,271828550
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,25,cpu_source,1,1,1000000,1000000,4,1,3,41298,41.298,41239,41518,15.312569521690767,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,25,gpu_source,1,1,1000000,1000000,4,1,3,2697,2.697,2350,3028,15.312569521690767,1,1,1,0,0,0,0,0,0,1,1,1,335980748,335980748,335980748
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,30,cpu_source,1,1,1000000,1000000,4,1,3,42529,42.529,42056,44501,13.853094462540717,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,30,gpu_source,1,1,1000000,1000000,4,1,3,3070,3.07,2961,3270,13.853094462540717,1,1,1,0,0,0,0,0,0,1,1,1,400132945,400132945,400132945
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,40,cpu_source,1,1,1000000,1000000,4,1,3,41408,41.408,41265,42517,23.729512893982807,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,40,gpu_source,1,1,1000000,1000000,4,1,3,1745,1.745,1735,3103,23.729512893982807,1,1,1,0,0,0,0,0,0,1,1,1,528437340,528437340,528437340
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,50,cpu_source,1,1,1000000,1000000,4,1,3,44196,44.196,41174,44476,14.840832773673606,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,50,gpu_source,1,1,1000000,1000000,4,1,3,2978,2.978,2787,2992,14.840832773673606,1,1,1,0,0,0,0,0,0,1,1,1,656741736,656741736,656741736
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,75,cpu_source,1,1,1000000,1000000,4,1,3,41604,41.604,41531,41929,13.53856166612431,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,75,gpu_source,1,1,1000000,1000000,4,1,3,3073,3.073,1725,3252,13.53856166612431,1,1,1,0,0,0,0,0,0,1,1,1,977502724,977502724,977502724
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,100,cpu_source,1,1,1000000,1000000,4,1,3,41561,41.561,41119,41640,15.554266467065869,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,100,gpu_source,1,1,1000000,1000000,4,1,3,2672,2.672,2512,2794,15.554266467065869,1,1,1,0,0,0,0,0,0,1,1,1,1298263712,1298263712,1298263712
tile_sweep_dense_axes,log_axis,image,2d,dense,1,1,cpu_source,2,2,1000,1000,4,1,3,249850,249.85,249499,252915,1.633796738291723,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,dense,1,1,gpu_source,2,2,1000,1000,4,1,3,152926,152.926,150216,155438,1.633796738291723,32,32,32,104,104,104,1,1,1,32,32,32,21200001,21200001,21200001
tile_sweep_dense_axes,log_axis,image,2d,dense,1,2,cpu_source,2,2,1000,1000,4,1,3,250218,250.218,249194,256705,2.002785448433185,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,dense,1,2,gpu_source,2,2,1000,1000,4,1,3,124935,124.935,124398,125774,2.002785448433185,16,16,16,39,39,39,1,1,1,16,16,16,40400002,40400002,40400002
tile_sweep_dense_axes,log_axis,image,2d,dense,1,3,cpu_source,2,2,1000,1000,4,1,3,249064,249.064,247737,251678,2.0170391966310333,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,dense,1,3,gpu_source,2,2,1000,1000,4,1,3,123480,123.48,121376,123930,2.0170391966310333,8,8,8,14,14,14,1,1,1,8,8,8,59600003,59600003,59600003
tile_sweep_dense_axes,log_axis,image,2d,dense,1,4,cpu_source,2,2,1000,1000,4,1,3,251174,251.174,251148,252091,2.063251106894371,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,dense,1,4,gpu_source,2,2,1000,1000,4,1,3,121737,121.737,121130,124411,2.063251106894371,8,8,8,14,14,14,1,1,1,8,8,8,78800005,78800005,78800005
tile_sweep_dense_axes,log_axis,image,2d,dense,1,5,cpu_source,2,2,1000,1000,4,1,3,250692,250.692,250256,251539,2.025139348897326,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,dense,1,5,gpu_source,2,2,1000,1000,4,1,3,123790,123.79,123003,124569,2.025139348897326,8,8,8,14,14,14,1,1,1,8,8,8,98000006,98000006,98000006
tile_sweep_dense_axes,log_axis,image,2d,dense,1,7,cpu_source,2,2,1000,1000,4,1,3,253173,253.173,253147,261528,2.884702155781414,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,2d,dense,1,7,gpu_source,2,2,1000,1000,4,1,3,87764,87.764,87754,90799,2.884702155781414,4,4,4,5,5,5,1,1,1,4,4,4,136400008,136400008,136400008
tile_sweep_dense_axes,log_axis,image,2d,dense,1,10,cpu_source,2,2,1000,1000,4,1,3,250602,250.602,247246,251705,2.795243884755669,,,,,,,,,,,,,,,
