experiment,op,dimension,density,sparse_factor,buffer_size,repeat,timing_source,time_us,time_ms,selected_field,gpu_tiles,gpu_oom_backoffs,gpu_host_fallback,gpu_input_rects,gpu_scratch_bytes,tile_rows_seen,d1,d2,num_nodes,num_edges,num_spaces,num_pieces,global_index,shard_id,field_mode,block_volume
tile_sweep_publication,image,1d,sparse,5,30,1,cpu_source,44501,44.501,cpu_us,,,,,,,1,1,1000000,1000000,4,1,50,2,block_random,1024
tile_sweep_publication,image,1d,sparse,5,30,1,gpu_source,3270,3.27,gpu_us,1,0,0,1,400132945,2,1,1,1000000,1000000,4,1,51,3,block_random,1024
tile_sweep_publication,image,1d,sparse,5,40,1,cpu_source,41408,41.408,cpu_us,,,,,,,1,1,1000000,1000000,4,1,52,0,block_random,1024
tile_sweep_publication,image,1d,sparse,5,40,1,gpu_source,1735,1.735,gpu_us,1,0,0,1,528437340,2,1,1,1000000,1000000,4,1,53,1,block_random,1024
tile_sweep_publication,image,1d,sparse,5,50,1,cpu_source,41174,41.174,cpu_us,,,,,,,1,1,1000000,1000000,4,1,54,2,block_random,1024
tile_sweep_publication,image,1d,sparse,5,50,1,gpu_source,2787,2.787,gpu_us,1,0,0,1,656741736,2,1,1,1000000,1000000,4,1,55,3,block_random,1024
tile_sweep_publication,image,1d,sparse,5,75,1,cpu_source,41604,41.604,cpu_us,,,,,,,1,1,1000000,1000000,4,1,56,0,block_random,1024
tile_sweep_publication,image,1d,sparse,5,75,1,gpu_source,3073,3.073,gpu_us,1,0,0,1,977502724,2,1,1,1000000,1000000,4,1,57,1,block_random,1024
tile_sweep_publication,image,1d,sparse,5,100,1,cpu_source,41640,41.64,cpu_us,,,,,,,1,1,1000000,1000000,4,1,58,2,block_random,1024
tile_sweep_publication,image,1d,sparse,5,100,1,gpu_source,2672,2.672,gpu_us,1,0,0,1,1298263712,2,1,1,1000000,1000000,4,1,59,3,block_random,1024
tile_sweep_publication,image,2d,dense,1,1,1,cpu_source,252915,252.915,cpu_us,,,,,,,2,2,1000,1000,4,1,60,0,block_random,1024
tile_sweep_publication,image,2d,dense,1,1,1,gpu_source,155438,155.438,gpu_us,32,104,1,32,21200001,2,2,2,1000,1000,4,1,61,1,block_random,1024
tile_sweep_publication,image,2d,dense,1,2,1,cpu_source,256705,256.705,cpu_us,,,,,,,2,2,1000,1000,4,1,62,2,block_random,1024
tile_sweep_publication,image,2d,dense,1,2,1,gpu_source,124935,124.935,gpu_us,16,39,1,16,40400002,2,2,2,1000,1000,4,1,63,3,block_random,1024
tile_sweep_publication,image,2d,dense,1,3,1,cpu_source,247737,247.737,cpu_us,,,,,,,2,2,1000,1000,4,1,64,0,block_random,1024
